record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,soil_horizon_missing_reason,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CO%257CSoil%2520dataset.xlsx%2523sheet1-row%253D8%7CCr%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CO%7CSoil%20dataset.xlsx%23sheet1-row%3D8,AL1-3|O,Cr,Cr,38.1715267,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=8,,Soil dataset.xlsx#sheet1-row=8,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CO%257CSoil%2520dataset.xlsx%2523sheet1-row%253D8%7CCu%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CO%7CSoil%20dataset.xlsx%23sheet1-row%3D8,AL1-3|O,Cu,Cu,14.47246151,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=8,,Soil dataset.xlsx#sheet1-row=8,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CO%257CSoil%2520dataset.xlsx%2523sheet1-row%253D8%7CNi%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CO%7CSoil%20dataset.xlsx%23sheet1-row%3D8,AL1-3|O,Ni,Ni,15.3147587,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=8,,Soil dataset.xlsx#sheet1-row=8,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CO%257CSoil%2520dataset.xlsx%2523sheet1-row%253D8%7CPb%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CO%7CSoil%20dataset.xlsx%23sheet1-row%3D8,AL1-3|O,Pb,Pb,43.54863673,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=8,,Soil dataset.xlsx#sheet1-row=8,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CO%257CSoil%2520dataset.xlsx%2523sheet1-row%253D8%7CZn%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CO%7CSoil%20dataset.xlsx%23sheet1-row%3D8,AL1-3|O,Zn,Zn,68.87443477,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-AES (PerkinElmer Optima 2000),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=8,,Soil dataset.xlsx#sheet1-row=8,,,,<2 mm,,,,,O,soil_organic_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,O,O,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-AES (PerkinElmer Optima 2000),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CA%257CSoil%2520dataset.xlsx%2523sheet1-row%253D9%7CCr%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CA%7CSoil%20dataset.xlsx%23sheet1-row%3D9,AL1-3|A,Cr,Cr,74.34510062,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=9,,Soil dataset.xlsx#sheet1-row=9,,,,<2 mm,,,,,A,soil_a_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CA%257CSoil%2520dataset.xlsx%2523sheet1-row%253D9%7CCu%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CA%7CSoil%20dataset.xlsx%23sheet1-row%3D9,AL1-3|A,Cu,Cu,20.19423216,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=9,,Soil dataset.xlsx#sheet1-row=9,,,,<2 mm,,,,,A,soil_a_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CA%257CSoil%2520dataset.xlsx%2523sheet1-row%253D9%7CNi%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CA%7CSoil%20dataset.xlsx%23sheet1-row%3D9,AL1-3|A,Ni,Ni,18.03931652,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=9,,Soil dataset.xlsx#sheet1-row=9,,,,<2 mm,,,,,A,soil_a_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CA%257CSoil%2520dataset.xlsx%2523sheet1-row%253D9%7CPb%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CA%7CSoil%20dataset.xlsx%23sheet1-row%3D9,AL1-3|A,Pb,Pb,40.35362094,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-MS (Agilent 7700x),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=9,,Soil dataset.xlsx#sheet1-row=9,,,,<2 mm,,,,,A,soil_a_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-MS (Agilent 7700x),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Ctpdc-china-mountain-soil%7Csrc-source-record-v2%257Ctpdc-china-mountain-soil%257CAL1-3%257CA%257CSoil%2520dataset.xlsx%2523sheet1-row%253D9%7CZn%7C,src-source-record-v2%7Ctpdc-china-mountain-soil%7CAL1-3%7CA%7CSoil%20dataset.xlsx%23sheet1-row%3D9,AL1-3|A,Zn,Zn,41.6956254,mg/kg,soil,,acid_digested_air_dry_soil_<2mm,,,,,,,24.5333,101.0328,,,,,ICP-AES (PerkinElmer Optima 2000),,article-reported acid digestion,,CC-BY-4.0,official_curated,tpdc-china-mountain-soil,Multi-element dataset of soil profiles across climatic zones in China's mountains,10.11888/Terre.tpdc.302620,tpdc-file-2025-07-23,Soil dataset.xlsx#sheet1-row=9,,Soil dataset.xlsx#sheet1-row=9,,,,<2 mm,,,,,A,soil_a_horizon,exact,,,AL / AL1,AL,,,OrganicSediments,,A,A,,,,,,,,,,,,,,,,,,,,not_reported,publication,,article_element_method_mapping,,ICP-AES (PerkinElmer Optima 2000),,,,,doi:10.5194/essd-17-4779-2025,doi:10.5194/essd-17-4779-2025,,,doi:10.5194/essd-17-4779-2025,10.5194/essd-17-4779-2025,"[""Zhang et al. (2025). A multi-element dataset of soil profiles across climatic zones in China's mountains. ESSD 17, 4779–4797. https://doi.org/10.5194/essd-17-4779-2025; dataset https://doi.org/10.11888/Terre.tpdc.302620""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
